libelle_geographique;code_insee;nombre_d_actifs_exercant_une_profession_culturelle;nombre_total_d_actifs;part_des_professionnels_de_la_culture_parmi_les_actifs
Charleville-Mézières;2101;640;77139;0.829671113185289
La Thiérache;2203;94;19096;0.49224968579807293
Laon;2204;249;33859;0.735402699429989
Amiens;2210;1964;150443;1.3054778221652055
Vierzon;2403;158;14497;1.0898806649651653
Blois;2413;1018;73152;1.3916229221347332
Cherbourg-en-Cotentin;2507;963;82739;1.1639009415148842
Granville;2509;249;17747;1.4030540373020792
Chatillon;2602;33;5830;0.5660377358490566
Chalon-sur-Saône;2608;981;75163;1.3051634447800113
Auxerre;2612;949;77865;1.2187760868169268
Avallon;2613;184;9222;1.9952288006939927
Dunkerque;3112;947;95544;0.9911663736079712
Cambrai;3116;533;53187;1.0021245793144942
Maubeuge;3117;558;64562;0.8642854930144667
Lens - Hénin;3122;793;110425;0.7181344804165724
Boulogne-sur-mer;3126;551;54534;1.0103788462243737
Verdun;4106;236;23332;1.0114863706497514
Metz;4107;2776;188566;1.4721635925882715
Thionville;4111;569;60703;0.9373507075432845
Besançon;4301;2413;125549;1.921958757138647
Pontarlier;4304;186;21673;0.858210676879066
Lons-le-Saunier;4306;552;50040;1.1031175059952039
Challans;5215;605;45109;1.3411957702454056
Guingamp;5302;204;18803;1.084933255331596
Carhaix-Plouguer;5307;232;16471;1.4085362151660494
Quimper;5309;2103;120640;1.7432029177718835
Rennes;5312;7898;360113;2.1932004676309935
Vitré;5314;238;24880;0.9565916398713826
Royan;5407;441;27633;1.5959179242210402
Bressuire;5412;319;28839;1.1061409896320955
Poitiers;5413;2537;133775;1.8964679499159036
Libourne;7205;410;45868;0.8938693642626668
Oloron-Sainte-Marie;7213;293;16594;1.7656984452211644
Pau;7214;2320;138179;1.6789816108091677
Ussel;7402;165;12380;1.3327948303715669
Oyonnax;8203;300;27529;1.089759889570998
Annonay;8204;209;18704;1.1174080410607357
Grenoble;8210;7179;343360;2.090808480894688
La Tarentaise;8215;835;56266;1.4840223225393665
Moulins;8302;387;37799;1.023836609434112
Vichy;8303;539;45766;1.177730192719486
Saint-Flour;8306;198;14324;1.382295448198827
Agde - Pézenas;9107;458;25539;1.7933356826813893
Sète;9112;665;31090;2.1389514313284015
Briançon;9303;364;16143;2.2548473022362634
Gap;9304;743;43858;1.694103698299056
Toulon;9315;3739;223844;1.6703597148013796
Corte;9406;86;4593;1.8724145438711082
